#Tail	Head	PosReg	NegReg	ID
http://pathwaycommons.org/pc12/Complex_46f99a13ca1b39c8d93926b9b394c395;http://pathwaycommons.org/pc12/Complex_d94718e37fd376d36964d093534054d5	http://pathwaycommons.org/pc12/Complex_211d68354570313ab0576060fb4a6179;http://pathwaycommons.org/pc12/Protein_845ef532b42131e8fdf3fa11276bf218;http://pathwaycommons.org/pc12/Protein_bdf326eedb65f7fe6a0259c5cb8c4ed4	None	None	http://pathwaycommons.org/pc12/ComplexAssembly_54a4cb4dd466fc2534ecd061bac1c365
http://pathwaycommons.org/pc12/Complex_5b48ff69ed8b27ec6d7f0dbbc3337d8b	http://pathwaycommons.org/pc12/Complex_6a76abcaa044bb3911df9e2e06246f00	http://pathwaycommons.org/pc12/Protein_aaaae745e1864ff387f8a0db2b9e20d1	None	http://pathwaycommons.org/pc12/BiochemicalReaction_cada0e4b331d56297d7135271575fed7
http://pathwaycommons.org/pc12/Complex_1d87c7e06cda9af181e1377f4b7e39c3	http://pathwaycommons.org/pc12/Complex_1a1a432db3d8cb25df223f61daffe3d2	None	None	http://pathwaycommons.org/pc12/BiochemicalReaction_41602efd474e550d3d058b0dab391c08
http://pathwaycommons.org/pc12/Complex_98b82ff1a1a34ef16004eaefa8d5a101	http://pathwaycommons.org/pc12/Complex_bcadede923b5104707042fdcf59c3fd0	None	None	http://pathwaycommons.org/pc12/BiochemicalReaction_3b3e796f7c36ed63259c89efaf0032f4
http://pathwaycommons.org/pc12/Complex_c5b42ff049a81816806c4077d0ac1bc5;http://pathwaycommons.org/pc12/Protein_aa1569dcc809c574266c0a80792a5995	http://pathwaycommons.org/pc12/Complex_e858fc4ad7de1f067890cdfde6b4d2cb	None	None	http://pathwaycommons.org/pc12/ComplexAssembly_11c96529f4a56404dfbf2655cda953a1
http://pathwaycommons.org/pc12/Complex_b35b1a9207a731da9e3feb9ffac8d118	http://pathwaycommons.org/pc12/Complex_5b48ff69ed8b27ec6d7f0dbbc3337d8b	http://pathwaycommons.org/pc12/Protein_bb741ee6892e571ad2fb792975d05a4e	None	http://pathwaycommons.org/pc12/BiochemicalReaction_9b702310eb1ca59fd7c1dbb28ae7dfd2
http://pathwaycommons.org/pc12/Protein_bc47c96d7c652d22f94260b30d5c8043	http://pathwaycommons.org/pc12/Protein_bdf326eedb65f7fe6a0259c5cb8c4ed4	None	None	http://pathwaycommons.org/pc12/Transport_3544b8b458a90636edf4b2b7366e538b
http://pathwaycommons.org/pc12/Complex_1c217b4dd23f78983e326d5b6abe9cd1	http://pathwaycommons.org/pc12/Complex_bccc1ef99c2f424c65c0dd09c602b54a	http://pathwaycommons.org/pc12/Pathway_a09c9c1c84ca0561632145a56875ef6d	None	http://pathwaycommons.org/pc12/BiochemicalReaction_a1760e4f5fcf9ccb23fbdfa053c7b80d
http://pathwaycommons.org/pc12/Complex_5dc6eb1d94c9ed38b4e87dd1b631dc9d;http://pathwaycommons.org/pc12/Protein_aa1569dcc809c574266c0a80792a5995	http://pathwaycommons.org/pc12/Complex_1c217b4dd23f78983e326d5b6abe9cd1	None	None	http://pathwaycommons.org/pc12/ComplexAssembly_3e5596b07c5096d9829c5a972a31d8f4
http://pathwaycommons.org/pc12/Protein_bdf326eedb65f7fe6a0259c5cb8c4ed4	http://pathwaycommons.org/pc12/Protein_bc47c96d7c652d22f94260b30d5c8043	None	None	http://pathwaycommons.org/pc12/Transport_f1f1d86a3f8faca129cdaf1e22a628ab
http://pathwaycommons.org/pc12/Complex_8fdc1a75607ecbdc3762445ece9f0ce2;http://pathwaycommons.org/pc12/Complex_e605105f125c44e122ca0d1030305a09	http://pathwaycommons.org/pc12/Complex_98b82ff1a1a34ef16004eaefa8d5a101	None	None	http://pathwaycommons.org/pc12/ComplexAssembly_615168bf3c9859fb46796fbc26cd59b1
