#hypernode	nodes
http://pathwaycommons.org/pc12/Complex_e858fc4ad7de1f067890cdfde6b4d2cb	http://pathwaycommons.org/pc12/Protein_f2a96c58c2ec3a1f713be85a0aec6857;http://pathwaycommons.org/pc12/Protein_c9ab988bac540ade1e7f357724c291a7;http://pathwaycommons.org/pc12/Protein_82e6dea88b99f1f6ed16ca770745a946
http://pathwaycommons.org/pc12/Protein_bdf326eedb65f7fe6a0259c5cb8c4ed4	http://pathwaycommons.org/pc12/Protein_bdf326eedb65f7fe6a0259c5cb8c4ed4
http://pathwaycommons.org/pc12/Protein_212d9c9fffaab114ab7897f2c19dbf2a	http://pathwaycommons.org/pc12/Protein_212d9c9fffaab114ab7897f2c19dbf2a
http://pathwaycommons.org/pc12/Protein_935c589697afdac3a7c9723a3373b822	http://pathwaycommons.org/pc12/Protein_935c589697afdac3a7c9723a3373b822
http://pathwaycommons.org/pc12/Protein_cd0c29b866af444d29115f0cc1622e1a	http://pathwaycommons.org/pc12/Protein_cd0c29b866af444d29115f0cc1622e1a
http://pathwaycommons.org/pc12/Protein_deeeb37aa68a0b0dc9de7c5e68af806a	http://pathwaycommons.org/pc12/Protein_deeeb37aa68a0b0dc9de7c5e68af806a
http://pathwaycommons.org/pc12/Protein_828197366cc5f4b6c2d033406cf85936	http://pathwaycommons.org/pc12/Protein_828197366cc5f4b6c2d033406cf85936
http://pathwaycommons.org/pc12/Protein_01c005333304be75d5c8b50a75897c07	http://pathwaycommons.org/pc12/Protein_01c005333304be75d5c8b50a75897c07
http://pathwaycommons.org/pc12/SmallMolecule_9a60aefd77ea0eab7330e6b59b4e32d1	http://pathwaycommons.org/pc12/SmallMolecule_9a60aefd77ea0eab7330e6b59b4e32d1
http://pathwaycommons.org/pc12/Protein_8f1e8eb7f8a94620f8fe7ee2c7c4093f	http://pathwaycommons.org/pc12/Protein_8f1e8eb7f8a94620f8fe7ee2c7c4093f
http://pathwaycommons.org/pc12/Protein_f7ba0ffc812b30fb94ba90a355a040f6	http://pathwaycommons.org/pc12/Protein_f7ba0ffc812b30fb94ba90a355a040f6
http://pathwaycommons.org/pc12/Protein_56610390a058781e82212465063f0ac4	http://pathwaycommons.org/pc12/Protein_56610390a058781e82212465063f0ac4
http://pathwaycommons.org/pc12/Protein_aa1569dcc809c574266c0a80792a5995	http://pathwaycommons.org/pc12/Protein_aa1569dcc809c574266c0a80792a5995
http://pathwaycommons.org/pc12/Protein_8fff03a4c42a82b924a2a7c68017b92c	http://pathwaycommons.org/pc12/Protein_8fff03a4c42a82b924a2a7c68017b92c
http://pathwaycommons.org/pc12/Protein_d580d04c35aeccac46b37594ed202737	http://pathwaycommons.org/pc12/Protein_d580d04c35aeccac46b37594ed202737
http://pathwaycommons.org/pc12/Protein_74f3e85d27b3153652e95f94992d0072	http://pathwaycommons.org/pc12/Protein_74f3e85d27b3153652e95f94992d0072
http://pathwaycommons.org/pc12/Protein_f2a96c58c2ec3a1f713be85a0aec6857	http://pathwaycommons.org/pc12/Protein_f2a96c58c2ec3a1f713be85a0aec6857
http://pathwaycommons.org/pc12/Protein_1a004d597613f9ec72ac4f06fe0b45b0	http://pathwaycommons.org/pc12/Protein_1a004d597613f9ec72ac4f06fe0b45b0
http://pathwaycommons.org/pc12/Protein_bb741ee6892e571ad2fb792975d05a4e	http://pathwaycommons.org/pc12/Protein_bb741ee6892e571ad2fb792975d05a4e
http://pathwaycommons.org/pc12/Protein_98a8c4044778cd8ec66d81eb7956977e	http://pathwaycommons.org/pc12/Protein_98a8c4044778cd8ec66d81eb7956977e
http://pathwaycommons.org/pc12/Protein_56549a1dd9d63b846da5789dfc30b095	http://pathwaycommons.org/pc12/Protein_56549a1dd9d63b846da5789dfc30b095
http://pathwaycommons.org/pc12/Protein_6e8088a147ede6caedd0475ef773e070	http://pathwaycommons.org/pc12/Protein_6e8088a147ede6caedd0475ef773e070
http://pathwaycommons.org/pc12/Protein_118b7b44db516612d3699f221a1d1a7e	http://pathwaycommons.org/pc12/Protein_118b7b44db516612d3699f221a1d1a7e
http://pathwaycommons.org/pc12/Protein_80065fc205011c383c39a7a8942e6d04	http://pathwaycommons.org/pc12/Protein_80065fc205011c383c39a7a8942e6d04
http://pathwaycommons.org/pc12/Protein_ae70ab0efaf08e49041f58d70f4473e9	http://pathwaycommons.org/pc12/Protein_ae70ab0efaf08e49041f58d70f4473e9
http://pathwaycommons.org/pc12/Protein_6e5d794abd6197715e3ccdb0d473aa31	http://pathwaycommons.org/pc12/Protein_6e5d794abd6197715e3ccdb0d473aa31
http://pathwaycommons.org/pc12/Protein_b8c41dfc1ff1a997ae13e27a7b8c059d	http://pathwaycommons.org/pc12/Protein_b8c41dfc1ff1a997ae13e27a7b8c059d
http://pathwaycommons.org/pc12/Protein_aaaae745e1864ff387f8a0db2b9e20d1	http://pathwaycommons.org/pc12/Protein_aaaae745e1864ff387f8a0db2b9e20d1
http://pathwaycommons.org/pc12/Protein_bc47c96d7c652d22f94260b30d5c8043	http://pathwaycommons.org/pc12/Protein_bc47c96d7c652d22f94260b30d5c8043
http://pathwaycommons.org/pc12/Protein_845ef532b42131e8fdf3fa11276bf218	http://pathwaycommons.org/pc12/Protein_845ef532b42131e8fdf3fa11276bf218
http://pathwaycommons.org/pc12/Protein_82e6dea88b99f1f6ed16ca770745a946	http://pathwaycommons.org/pc12/Protein_82e6dea88b99f1f6ed16ca770745a946
http://pathwaycommons.org/pc12/Protein_96f2fb2b34be892334eb8e8dc576b182	http://pathwaycommons.org/pc12/Protein_96f2fb2b34be892334eb8e8dc576b182
http://pathwaycommons.org/pc12/SmallMolecule_d945f2e721fd1cb3ad6be17b8d5a5e2f	http://pathwaycommons.org/pc12/SmallMolecule_d945f2e721fd1cb3ad6be17b8d5a5e2f
http://pathwaycommons.org/pc12/Protein_3ee7cb2cb5f965ae637c5113f28663cc	http://pathwaycommons.org/pc12/Protein_3ee7cb2cb5f965ae637c5113f28663cc
http://pathwaycommons.org/pc12/Protein_6d91051e69fee7057245f95e86942862	http://pathwaycommons.org/pc12/Protein_6d91051e69fee7057245f95e86942862
http://pathwaycommons.org/pc12/Protein_f16f0a7c139d700b0272db47aeb76646	http://pathwaycommons.org/pc12/Protein_f16f0a7c139d700b0272db47aeb76646
http://pathwaycommons.org/pc12/Protein_ba2dd7da27dd38aaff1f99204b6d6a80	http://pathwaycommons.org/pc12/Protein_ba2dd7da27dd38aaff1f99204b6d6a80
http://pathwaycommons.org/pc12/SmallMolecule_12dfdb9160961a098fe3b18b400c6460	http://pathwaycommons.org/pc12/SmallMolecule_12dfdb9160961a098fe3b18b400c6460
http://pathwaycommons.org/pc12/Protein_8024df2de10e47a1bf0ae848de114c23	http://pathwaycommons.org/pc12/Protein_8024df2de10e47a1bf0ae848de114c23
http://pathwaycommons.org/pc12/Protein_d710e2481dc0d1c8244629fef5c9ea18	http://pathwaycommons.org/pc12/Protein_d710e2481dc0d1c8244629fef5c9ea18
http://pathwaycommons.org/pc12/Protein_c9ab988bac540ade1e7f357724c291a7	http://pathwaycommons.org/pc12/Protein_c9ab988bac540ade1e7f357724c291a7
http://pathwaycommons.org/pc12/Protein_93e13246bdf8ff31e2ba49ddaf4f916c	http://pathwaycommons.org/pc12/Protein_93e13246bdf8ff31e2ba49ddaf4f916c
http://pathwaycommons.org/pc12/Protein_f6826d0637e77969abed009cd6d8aa9b	http://pathwaycommons.org/pc12/Protein_f6826d0637e77969abed009cd6d8aa9b
http://pathwaycommons.org/pc12/Pathway_ae44479b68df8ccf5164119b0b5b7dd3	http://pathwaycommons.org/pc12/Pathway_ae44479b68df8ccf5164119b0b5b7dd3
http://pathwaycommons.org/pc12/Pathway_a09c9c1c84ca0561632145a56875ef6d	http://pathwaycommons.org/pc12/Pathway_a09c9c1c84ca0561632145a56875ef6d
#hypernode	nodes
http://pathwaycommons.org/pc12/Complex_e605105f125c44e122ca0d1030305a09	http://pathwaycommons.org/pc12/Protein_98a8c4044778cd8ec66d81eb7956977e;http://pathwaycommons.org/pc12/Protein_212d9c9fffaab114ab7897f2c19dbf2a
http://pathwaycommons.org/pc12/Complex_41658f0903c1f64654f27abb031a0432	http://pathwaycommons.org/pc12/Protein_b70899cb4690f2f7075cff5df75c1b45;http://pathwaycommons.org/pc12/Protein_6208522dacb35c843bae780b3d2bf125;http://pathwaycommons.org/pc12/Protein_bc68349b4d586948727302f1b6c51a72
http://pathwaycommons.org/pc12/Complex_6058177ac5146925cb183212b4b7dfdf	http://pathwaycommons.org/pc12/Protein_d710e2481dc0d1c8244629fef5c9ea18;http://pathwaycommons.org/pc12/Protein_845ef532b42131e8fdf3fa11276bf218;http://pathwaycommons.org/pc12/Protein_212d9c9fffaab114ab7897f2c19dbf2a
http://pathwaycommons.org/pc12/Complex_4aa96bf14d50c82fed5ef4697f1ce7ce	http://pathwaycommons.org/pc12/Protein_8f1e8eb7f8a94620f8fe7ee2c7c4093f;http://pathwaycommons.org/pc12/Protein_ba2dd7da27dd38aaff1f99204b6d6a80;http://pathwaycommons.org/pc12/Protein_212d9c9fffaab114ab7897f2c19dbf2a;http://pathwaycommons.org/pc12/Protein_1a004d597613f9ec72ac4f06fe0b45b0
http://pathwaycommons.org/pc12/Complex_d94718e37fd376d36964d093534054d5	http://pathwaycommons.org/pc12/Protein_f7ba0ffc812b30fb94ba90a355a040f6;http://pathwaycommons.org/pc12/Protein_56610390a058781e82212465063f0ac4;http://pathwaycommons.org/pc12/Protein_212d9c9fffaab114ab7897f2c19dbf2a;http://pathwaycommons.org/pc12/Protein_8f1e8eb7f8a94620f8fe7ee2c7c4093f;http://pathwaycommons.org/pc12/Protein_828197366cc5f4b6c2d033406cf85936;http://pathwaycommons.org/pc12/Protein_d580d04c35aeccac46b37594ed202737
http://pathwaycommons.org/pc12/Complex_05697dd991d5fc1cd645a0044b7c11b3	http://pathwaycommons.org/pc12/Protein_56610390a058781e82212465063f0ac4;http://pathwaycommons.org/pc12/Protein_828197366cc5f4b6c2d033406cf85936;http://pathwaycommons.org/pc12/Protein_ae70ab0efaf08e49041f58d70f4473e9;http://pathwaycommons.org/pc12/Protein_d580d04c35aeccac46b37594ed202737
http://pathwaycommons.org/pc12/Complex_f2ec73767680d4a8cf58d31cd2ab5391	http://pathwaycommons.org/pc12/Protein_7c65813a69f484b03c201f32f018c722;http://pathwaycommons.org/pc12/Protein_98a8c4044778cd8ec66d81eb7956977e
http://pathwaycommons.org/pc12/Complex_8276edbac6006b2b0ea19a34cbbd4445	http://pathwaycommons.org/pc12/Protein_ba2dd7da27dd38aaff1f99204b6d6a80;http://pathwaycommons.org/pc12/Protein_1a004d597613f9ec72ac4f06fe0b45b0
http://pathwaycommons.org/pc12/Complex_6a76abcaa044bb3911df9e2e06246f00	http://pathwaycommons.org/pc12/Protein_f7ba0ffc812b30fb94ba90a355a040f6;http://pathwaycommons.org/pc12/Protein_56610390a058781e82212465063f0ac4;http://pathwaycommons.org/pc12/Protein_828197366cc5f4b6c2d033406cf85936
http://pathwaycommons.org/pc12/Complex_11950ee0d3834aeedbe1276bf658de2d	http://pathwaycommons.org/pc12/Protein_7c65813a69f484b03c201f32f018c722;http://pathwaycommons.org/pc12/Protein_8f1e8eb7f8a94620f8fe7ee2c7c4093f;http://pathwaycommons.org/pc12/Protein_ba2dd7da27dd38aaff1f99204b6d6a80;http://pathwaycommons.org/pc12/Protein_1a004d597613f9ec72ac4f06fe0b45b0
http://pathwaycommons.org/pc12/Complex_0a534b8e30a38a2dbd56bc8690465d50	http://pathwaycommons.org/pc12/Protein_845ef532b42131e8fdf3fa11276bf218;http://pathwaycommons.org/pc12/Protein_212d9c9fffaab114ab7897f2c19dbf2a
http://pathwaycommons.org/pc12/Complex_081df2badd14d6b53f5691c0fd82129c	http://pathwaycommons.org/pc12/Protein_d710e2481dc0d1c8244629fef5c9ea18;http://pathwaycommons.org/pc12/Protein_8f1e8eb7f8a94620f8fe7ee2c7c4093f;http://pathwaycommons.org/pc12/Protein_845ef532b42131e8fdf3fa11276bf218;http://pathwaycommons.org/pc12/Protein_212d9c9fffaab114ab7897f2c19dbf2a
http://pathwaycommons.org/pc12/Complex_850f44f917acb11059ff27c88a0494ee	http://pathwaycommons.org/pc12/Protein_845ef532b42131e8fdf3fa11276bf218;http://pathwaycommons.org/pc12/Protein_8fae4274ab0a6e3ba0bc8d177ee01521;http://pathwaycommons.org/pc12/Protein_212d9c9fffaab114ab7897f2c19dbf2a
http://pathwaycommons.org/pc12/Protein_bdf326eedb65f7fe6a0259c5cb8c4ed4	http://pathwaycommons.org/pc12/Protein_bdf326eedb65f7fe6a0259c5cb8c4ed4
http://pathwaycommons.org/pc12/Protein_212d9c9fffaab114ab7897f2c19dbf2a	http://pathwaycommons.org/pc12/Protein_212d9c9fffaab114ab7897f2c19dbf2a
http://pathwaycommons.org/pc12/Protein_deeeb37aa68a0b0dc9de7c5e68af806a	http://pathwaycommons.org/pc12/Protein_deeeb37aa68a0b0dc9de7c5e68af806a
http://pathwaycommons.org/pc12/Protein_828197366cc5f4b6c2d033406cf85936	http://pathwaycommons.org/pc12/Protein_828197366cc5f4b6c2d033406cf85936
